Linha,NumTrips,TotalGiros,MeanDuracao,KmPerc,PassPerTrip,FimOperação
221,51764,2261714,59.24942044664245,26.83451574453288,43.69279808361023,1900-01-01
231,6160,153933,51.624188311688314,28.292582629870132,24.989123376623375,1900-01-01
235,6114,172191,42.02109911678116,22.285371279031732,28.163395485770362,1900-01-01
260,32597,510723,15.626161916740804,6.074964659324477,15.667791514556555,1900-01-01
261,24942,514517,21.3193809638361,7.862694130382488,20.628538208644056,1900-01-01
262,16090,198606,19.456743318831574,8.606286016159105,12.34344313238036,1900-01-01
263,11832,151158,24.352011494252874,10.214122718052739,12.775354969574037,1900-01-01
264,47939,1322000,34.76217693318593,12.365438077556895,27.57671207159098,1900-01-01
265,1425,9444,29.348070175438597,12.132522807017542,6.627368421052632,1900-01-01
266,27431,537564,35.37548758703657,15.140197550216909,19.596952353177063,1900-01-01
